% # columns=["iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=414858, Tue Feb 23 15:35:18 2016
0 0 0.5 0 0 0.5 0.50000312501 0.500006250039 0.500009375088 0.500012500156 0.500015625244 0.500018750352 0.500021875479
1 10 0.441417086786 0 0 0.43537093343 0.43228235625 0.435412118886 0.434872978039 0.429340669091 0.439412192272 0.431786096232 0.440795280178
2 20 0.421145109244 0 0 0.408641494368 0.403792084344 0.417218422609 0.407820579222 0.399207329134 0.444358059752 0.408228207484 0.414299715724
3 30 0.395223499824 0 0 0.383507645738 0.364634987598 0.384925600151 0.387228471368 0.374328890068 0.415716482691 0.375792895227 0.373083154705
4 40 0.359842952509 0 0 0.333474687238 0.325517167195 0.346153641062 0.350423856801 0.341876543724 0.3653903801 0.333496891799 0.343986068184
5 50 0.337981229431 0 0 0.326115278976 0.296918605188 0.325211843278 0.320985414039 0.316069016156 0.357873539744 0.313581461764 0.315450483066
6 60 0.323140313604 0 0 0.309813480421 0.275590035415 0.311215513065 0.302968378143 0.29654465992 0.344388156603 0.289096932566 0.29798394063
7 70 0.312263511851 0 0 0.293505521044 0.257439053694 0.299876286989 0.289469087242 0.281805291856 0.333330252849 0.281394044944 0.295115954901
8 80 0.300027769358 0 0 0.274794972996 0.243008996686 0.283348219841 0.278943016465 0.269259886045 0.322179680767 0.263711447308 0.295434871517
9 90 0.297463579478 0 0 0.264388210705 0.230488341068 0.278984191655 0.272704913932 0.267243388617 0.334325846162 0.25729631253 0.29837548413
10 100 0.299044212968 0 0 0.264368940626 0.223355472402 0.276427362907 0.265619165166 0.263778421362 0.343742296576 0.254403053097 0.305150304367
11 110 0.274491461449 0 0 0.236677410899 0.196477888893 0.25878128387 0.246643943001 0.237634101757 0.322355549787 0.222613328842 0.27831254938
12 120 0.25364231167 0 0 0.219333751662 0.177254805846 0.240104392583 0.225824228243 0.217333435265 0.295174075222 0.203053651978 0.24824536989
13 130 0.254980766633 0 0 0.218995452872 0.171890424611 0.245907144016 0.223747966649 0.222473959543 0.294170467748 0.209658034103 0.263057276238
14 140 0.235237171306 0 0 0.20596666259 0.149593670745 0.227909162315 0.200129425454 0.206343079201 0.273937955568 0.192769962079 0.239088894908
15 150 0.220755423926 0 0 0.192876565957 0.137667768152 0.212224279499 0.181251697877 0.198102799046 0.265904017392 0.179615990351 0.220359350484
16 160 0.207229479501 0 0 0.184814105801 0.125620618747 0.199396964121 0.166302596298 0.18017881358 0.24794495109 0.167189816783 0.207948718284
17 170 0.207935473459 0 0 0.191092261385 0.123413874872 0.197268535501 0.16478647681 0.183498481018 0.249783229932 0.162249692781 0.206577793692
18 180 0.214022221898 0 0 0.202297519994 0.121161016009 0.204265701515 0.164446927177 0.191087874011 0.260718811682 0.163164252915 0.218005073813
19 190 0.226232759751 0 0 0.209345800902 0.124490698753 0.219146765719 0.173590920012 0.207323407442 0.272429832097 0.177482521889 0.231210886466
20 200 0.237415909198 0 0 0.222126893884 0.122826011286 0.23683645691 0.179695604315 0.221968754486 0.281237733851 0.185161508988 0.244346074206
21 210 0.236044331178 0 0 0.21991843096 0.119155893169 0.232615561035 0.174244679186 0.221033972718 0.283962706568 0.177333556452 0.246594842203
22 220 0.257401078846 0 0 0.241745802182 0.123960067196 0.26564066075 0.188988744736 0.248512961306 0.31755207935 0.190657247995 0.262365352193
23 230 0.254596237007 0 0 0.245855519667 0.116096463768 0.274618763339 0.187699401257 0.250669280376 0.31562052339 0.182170300431 0.255229957287
24 240 0.262327193898 0 0 0.258263098447 0.119208689755 0.279032786074 0.18803556786 0.253784634171 0.340311187077 0.189466724183 0.263457223268
25 250 0.237864863101 0 0 0.238620147087 0.105353751549 0.249016542534 0.166860576206 0.224794382442 0.307550440622 0.167578335849 0.238332074192
26 260 0.216862669355 0 0 0.218611634409 0.0929900219753 0.222070339458 0.14824532906 0.202155380136 0.275324986812 0.147736014526 0.214305628321
27 270 0.203449593821 0 0 0.202015486418 0.0852750596568 0.203150965878 0.134788687174 0.187294086003 0.258599842904 0.140206944678 0.204678277991
28 280 0.201982795396 0 0 0.200060025193 0.0824157441252 0.198242184001 0.130808318747 0.1845227538 0.260799087235 0.139908317235 0.201074928897
29 290 0.206677830339 0 0 0.204215083387 0.0834015921664 0.210024395046 0.132843818169 0.186187029989 0.265009217907 0.138766309226 0.197958564494
30 300 0.220960407235 0 0 0.215517872248 0.0862835174899 0.221700943918 0.14296638031 0.194918942622 0.294091981695 0.150119401233 0.215247222164
31 310 0.223045984642 0 0 0.214281094577 0.085610535669 0.22318944733 0.144964319166 0.194315868509 0.296744934093 0.152240270219 0.217882361863
32 320 0.240639170446 0 0 0.232935513335 0.0898796664892 0.234632723469 0.152827126546 0.210616324117 0.313218724914 0.15863130911 0.264666310389
33 330 0.253234228148 0 0 0.247195022721 0.0920295860604 0.246114073167 0.158406213685 0.219139620723 0.324346832479 0.160043613846 0.287025422358
34 340 0.26002400123 0 0 0.250452230877 0.0915977431685 0.241322358197 0.158963099689 0.233424276568 0.332450610635 0.166714517775 0.296942289325
35 350 0.219901932921 0 0 0.208468217699 0.073200953773 0.201509619157 0.133842232365 0.19594700484 0.279021144883 0.142575616204 0.248754016174
36 360 0.203638685392 0 0 0.190933976333 0.0642321925049 0.189532190104 0.121410716859 0.175538961747 0.257741743891 0.130276955991 0.233285059021
37 370 0.18894312175 0 0 0.172818270623 0.0570437041698 0.172781983177 0.110098268967 0.160932177845 0.237094546973 0.116868215033 0.21781366695
38 380 0.183490483305 0 0 0.166613304551 0.0547456839494 0.166596408862 0.102047396833 0.157606504571 0.232901168781 0.111421322585 0.205924836092
39 390 0.172787237069 0 0 0.15246661648 0.0516016752829 0.162779361603 0.0941324709908 0.151580411808 0.221026349559 0.101927249961 0.192387514817
40 400 0.172226035693 0 0 0.149427800456 0.0494577210213 0.161748646132 0.0921933665036 0.152403243562 0.223328898723 0.10142126412 0.186420953438
41 410 0.167188629919 0 0 0.142585575271 0.0473446724196 0.154298368811 0.086336113392 0.147232779903 0.215508488907 0.097964682649 0.177677868184
42 420 0.17232350633 0 0 0.150234484815 0.0479686369684 0.16009759532 0.0861980644033 0.153091190701 0.22904538578 0.101146914638 0.177538129179
43 430 0.162134600478 0 0 0.139116320706 0.0435113295848 0.149094656243 0.0777285127993 0.1435799423 0.217868616259 0.0917806361193 0.169832461649
44 440 0.148632058966 0 0 0.126230197079 0.0396729959317 0.137311800695 0.0702813938775 0.130247425582 0.203136181744 0.0828908631367 0.149320857005
45 450 0.144994859941 0 0 0.1232187499 0.0384004565127 0.140281677262 0.0653898514074 0.127207151294 0.204208431345 0.0831552472747 0.144375643526
46 460 0.132799869715 0 0 0.110379451159 0.0341225076615 0.129378484118 0.0584041160627 0.113480048006 0.188195611763 0.0751028094804 0.131265594538
47 470 0.11963221493 0 0 0.098181636807 0.0295267073032 0.112036166912 0.0523515486783 0.102698146151 0.174336716659 0.0679709029818 0.115430603936
48 480 0.112309891757 0 0 0.0920020299874 0.0279924568337 0.105388147956 0.048086933407 0.0954707283792 0.167514948876 0.0643833687003 0.107169875918
49 490 0.105508158035 0 0 0.0884392489071 0.0259626157056 0.098406188388 0.0432136425862 0.0870939536741 0.155332080017 0.0595755304113 0.0994201232684
50 500 0.102238370602 0 0 0.0872271067722 0.0248405492365 0.0922818877431 0.0408895405068 0.0845460132115 0.149012405866 0.057297329043 0.0947350063302
51 510 0.0973061714433 0 0 0.0825529327275 0.0239745705338 0.0876699149419 0.0367562572173 0.0830930654457 0.136841096674 0.053845334273 0.0905930158541
52 520 0.0919917849876 0 0 0.0796545170018 0.022228736674 0.0824505496174 0.0339808686713 0.0779978396399 0.127964553385 0.0501632922642 0.0822885922593
53 530 0.0878522670976 0 0 0.0751376201253 0.0209763549467 0.0779805395706 0.0319201582448 0.0747278020846 0.120395558444 0.0473653432339 0.0800532950558
54 540 0.0809597582222 0 0 0.0680463646029 0.0191498725746 0.0699827525693 0.0291416796168 0.0731994381372 0.108935099604 0.041730619626 0.072137909194
55 550 0.0775012066753 0 0 0.0636954376259 0.0178930413315 0.0651539075805 0.0274893847357 0.0692047490338 0.102341140439 0.0396718755317 0.0723848130537
56 560 0.0802199853852 0 0 0.0669838940105 0.0181284613504 0.0672882870393 0.0279331530508 0.0737196614055 0.102889143975 0.0406102110584 0.0747314573394
57 570 0.0814192550847 0 0 0.0679096446162 0.0183828252733 0.0674469999319 0.0277547209221 0.0739456074847 0.104147172521 0.0397346203129 0.0768858726772
58 580 0.0804389432076 0 0 0.065974775935 0.0182823400702 0.0686289422623 0.0272809029207 0.0725816218548 0.10200754511 0.0397135680194 0.0773106812458
59 590 0.0819400995385 0 0 0.0660197142209 0.0188695900721 0.0696823540142 0.0266853411343 0.0759871919774 0.104201670282 0.0401360103945 0.0802093286952
60 600 0.084840848467 0 0 0.0679664152032 0.0193568793477 0.0708580090451 0.0271599699006 0.0790708890325 0.107859971301 0.0405719345503 0.0869523131627
61 610 0.0811653662237 0 0 0.0662298359429 0.018387071245 0.0680577019226 0.0252427744716 0.0765551618862 0.101470371246 0.0377042607691 0.0828442594213
62 620 0.0738285692396 0 0 0.0601613773652 0.0166575739337 0.0615488305036 0.0217650431914 0.0690527411799 0.0927167188185 0.0333823482704 0.0753133430029
63 630 0.0756881307576 0 0 0.0618754073833 0.016846960334 0.0677243094083 0.0221414521271 0.0720353132559 0.0957465566718 0.0336551115084 0.077760282511
64 640 0.0715006943693 0 0 0.0568090507985 0.0157994925974 0.0622838529834 0.0205040644395 0.0669802644867 0.0904436681141 0.0313380141132 0.0751902558735
65 650 0.067203524021 0 0 0.0528483755866 0.0147022167674 0.057508366325 0.0182256889703 0.0640057857873 0.0857196358059 0.0285831273839 0.0717251027276
66 660 0.0598385760559 0 0 0.046974315798 0.0129915238472 0.0505739387421 0.0162284100809 0.0568768584919 0.0745993586164 0.0248779092341 0.0637902562962
